date,stage,match,selection,decimal_odds,market_probability,model_probability,value_gap,signal,risk_label,confidence_score,kelly_stake_pct,bankroll_note,quality_label
2026-06-21,FIFA World Cup,Ecuador vs Curaçao,Ecuador,1.2,0.8333,0.5538,-0.2796,NO BET,LOW RISK,0.2742,0.0,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Egypt vs Iran,Egypt,2.25,0.4444,0.3739,-0.0705,NO BET,MEDIUM RISK,0.2734,0.0,No bet suggested.,NO_BET
2026-06-26,FIFA World Cup,Senegal vs Iraq,Iraq,7.61,0.1314,0.2515,0.1201,NO BET,VERY HIGH RISK,0.2715,0.0346,No bet suggested.,NO_BET
2026-06-28,FIFA World Cup,Algeria vs Austria,Algeria,3.62,0.2762,0.3035,0.0272,NO BET,HIGH RISK,0.2707,0.0094,No bet suggested.,NO_BET
2026-06-14,FIFA World Cup,Netherlands vs Japan,Japan,3.6,0.2778,0.3035,0.0257,NO BET,HIGH RISK,0.2691,0.0089,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,Curaçao vs Ivory Coast,Curaçao,12.67,0.0789,0.2235,0.1446,NO BET,VERY HIGH RISK,0.2682,0.0393,No bet suggested.,NO_BET
2026-06-15,FIFA World Cup,Spain vs Cape Verde,Draw,10.87,0.092,0.2288,0.1368,NO BET,VERY HIGH RISK,0.2655,0.0377,No bet suggested.,NO_BET
2026-06-20,FIFA World Cup,Brazil vs Haiti,Draw,11.79,0.0848,0.225,0.1402,NO BET,VERY HIGH RISK,0.2652,0.0383,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Spain vs Saudi Arabia,Draw,9.49,0.1054,0.235,0.1296,NO BET,VERY HIGH RISK,0.2646,0.0362,No bet suggested.,NO_BET
2026-06-16,FIFA World Cup,Iraq vs Norway,Draw,6.81,0.1468,0.255,0.1082,NO BET,VERY HIGH RISK,0.2632,0.0317,No bet suggested.,NO_BET
2026-06-17,FIFA World Cup,England vs Croatia,England,1.72,0.5814,0.4365,-0.1449,NO BET,MEDIUM RISK,0.2617,0.0,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Colombia vs Portugal,Colombia,3.5,0.2857,0.3035,0.0177,NO BET,HIGH RISK,0.2612,0.0062,No bet suggested.,NO_BET
2026-06-12,FIFA World Cup,Canada vs Bosnia & Herzegovina,Canada,1.81,0.5525,0.4187,-0.1338,NO BET,MEDIUM RISK,0.255,0.0,No bet suggested.,NO_BET
2026-06-13,FIFA World Cup,Brazil vs Morocco,Brazil,1.65,0.6061,0.4454,-0.1607,NO BET,MEDIUM RISK,0.2547,0.0,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,Curaçao vs Ivory Coast,Ivory Coast,1.24,0.8065,0.5302,-0.2762,NO BET,LOW RISK,0.254,0.0,No bet suggested.,NO_BET
2026-06-13,FIFA World Cup,Qatar vs Switzerland,Draw,6.54,0.1529,0.25,0.0971,NO BET,VERY HIGH RISK,0.2471,0.0287,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,South Africa vs South Korea,South Africa,3.88,0.2577,0.2808,0.0231,NO BET,HIGH RISK,0.2439,0.0078,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,Czech Republic vs Mexico,Mexico,1.83,0.5464,0.4098,-0.1367,NO BET,MEDIUM RISK,0.2431,0.0,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Belgium vs Iran,Belgium,1.39,0.7194,0.4803,-0.2392,NO BET,LOW RISK,0.2411,0.0,No bet suggested.,NO_BET
2026-06-22,FIFA World Cup,France vs Iraq,Draw,8.42,0.1188,0.2288,0.11,NO BET,VERY HIGH RISK,0.2387,0.0312,No bet suggested.,NO_BET
2026-06-26,FIFA World Cup,Paraguay vs Australia,Paraguay,2.16,0.463,0.365,-0.098,NO BET,MEDIUM RISK,0.237,0.0,No bet suggested.,NO_BET
2026-06-27,FIFA World Cup,Cape Verde vs Saudi Arabia,Cape Verde,2.59,0.3861,0.3265,-0.0596,NO BET,MEDIUM RISK,0.2368,0.0,No bet suggested.,NO_BET
2026-06-19,FIFA World Cup,USA vs Australia,USA,1.75,0.5714,0.4187,-0.1527,NO BET,MEDIUM RISK,0.236,0.0,No bet suggested.,NO_BET
2026-06-21,FIFA World Cup,Ecuador vs Curaçao,Draw,6.7,0.1493,0.2425,0.0932,NO BET,VERY HIGH RISK,0.2357,0.0274,No bet suggested.,NO_BET
2026-06-25,FIFA World Cup,Japan vs Sweden,Sweden,3.56,0.2809,0.2883,0.0074,NO BET,HIGH RISK,0.2357,0.0026,No bet suggested.,NO_BET
