match_id,date,stage,team_a,team_b,selection,decimal_odds,implied_probability,model_probability,value_gap,kelly_stake_pct,signal,risk_label,confidence_score,quality_label
22,2026-06-17,FIFA World Cup,England,Croatia,England,1.72,0.5814,0.4365,-0.1449,0.0,NO BET,MEDIUM RISK,0.2617,NO_BET
69,2026-06-27,FIFA World Cup,Colombia,Portugal,Colombia,3.5,0.2857,0.3035,0.0177,0.0062,NO BET,HIGH RISK,0.2612,NO_BET
3,2026-06-12,FIFA World Cup,Canada,Bosnia & Herzegovina,Canada,1.81,0.5525,0.4187,-0.1338,0.0,NO BET,MEDIUM RISK,0.255,NO_BET
6,2026-06-13,FIFA World Cup,Brazil,Morocco,Brazil,1.65,0.6061,0.4454,-0.1607,0.0,NO BET,MEDIUM RISK,0.2547,NO_BET
55,2026-06-25,FIFA World Cup,Curaçao,Ivory Coast,Ivory Coast,1.24,0.8065,0.5302,-0.2762,0.0,NO BET,LOW RISK,0.254,NO_BET
5,2026-06-13,FIFA World Cup,Qatar,Switzerland,Draw,6.54,0.1529,0.25,0.0971,0.0287,NO BET,VERY HIGH RISK,0.2471,NO_BET
54,2026-06-25,FIFA World Cup,South Africa,South Korea,South Africa,3.88,0.2577,0.2808,0.0231,0.0078,NO BET,HIGH RISK,0.2439,NO_BET
53,2026-06-25,FIFA World Cup,Czech Republic,Mexico,Mexico,1.83,0.5464,0.4098,-0.1367,0.0,NO BET,MEDIUM RISK,0.2431,NO_BET
38,2026-06-21,FIFA World Cup,Belgium,Iran,Belgium,1.39,0.7194,0.4803,-0.2392,0.0,NO BET,LOW RISK,0.2411,NO_BET
42,2026-06-22,FIFA World Cup,France,Iraq,Draw,8.42,0.1188,0.2288,0.11,0.0312,NO BET,VERY HIGH RISK,0.2387,NO_BET
59,2026-06-26,FIFA World Cup,Paraguay,Australia,Paraguay,2.16,0.463,0.365,-0.098,0.0,NO BET,MEDIUM RISK,0.237,NO_BET
63,2026-06-27,FIFA World Cup,Cape Verde,Saudi Arabia,Cape Verde,2.59,0.3861,0.3265,-0.0596,0.0,NO BET,MEDIUM RISK,0.2368,NO_BET
29,2026-06-19,FIFA World Cup,USA,Australia,USA,1.75,0.5714,0.4187,-0.1527,0.0,NO BET,MEDIUM RISK,0.236,NO_BET
35,2026-06-21,FIFA World Cup,Ecuador,Curaçao,Draw,6.7,0.1493,0.2425,0.0932,0.0274,NO BET,VERY HIGH RISK,0.2357,NO_BET
57,2026-06-25,FIFA World Cup,Japan,Sweden,Sweden,3.56,0.2809,0.2883,0.0074,0.0026,NO BET,HIGH RISK,0.2357,NO_BET
40,2026-06-22,FIFA World Cup,New Zealand,Egypt,New Zealand,4.77,0.2096,0.2515,0.0418,0.0132,NO BET,HIGH RISK,0.2333,NO_BET
35,2026-06-21,FIFA World Cup,Ecuador,Curaçao,Curaçao,13.32,0.0751,0.2037,0.1286,0.0348,NO BET,VERY HIGH RISK,0.2324,NO_BET
